,,,,,,,,,,,,,,,
BTC,Avail. Supply,Daily emission,Block Reward,Inflation,% Mined,Normalized for XMR,XMR,Avail. Supply,Daily emission,Block Reward,Inflation,% Mined,,,
day 1,0.00,"7,200.00",50.0000,#DIV/0!,0.00%,"6,308.57",,,,,,,,11/30/2008,
day 2,"7,200.00","7,200.00",50.0000,100.00000%,0.03%,"6,308.57",,,,,,,,12/1/2008,
day 3,"14,400.00","7,200.00",50.0000,50.00000%,0.07%,"6,308.57",,,,,,,,12/2/2008,
day 4,"21,600.00","7,200.00",50.0000,33.33333%,0.10%,"6,308.57",,,,,,,,12/3/2008,
day 5,"28,800.00","7,200.00",50.0000,25.00000%,0.14%,"6,308.57",,,,,,,,12/4/2008,
day 6,"36,000.00","7,200.00",50.0000,20.00000%,0.17%,"6,308.57",,,,,,,,12/5/2008,
day 7,"43,200.00","7,200.00",50.0000,16.66667%,0.21%,"6,308.57",,,,,,,,12/6/2008,
day 8,"50,400.00","7,200.00",50.0000,14.28571%,0.24%,"6,308.57",,,,,,,,12/7/2008,
day 9,"57,600.00","7,200.00",50.0000,12.50000%,0.27%,"6,308.57",,,,,,,,12/8/2008,
day 10,"64,800.00","7,200.00",50.0000,11.11111%,0.31%,"6,308.57",,,,,,,,12/9/2008,
day 11,"72,000.00","7,200.00",50.0000,10.00000%,0.34%,"6,308.57",,,,,,,,12/10/2008,
day 12,"79,200.00","7,200.00",50.0000,9.09091%,0.38%,"6,308.57",,,,,,,,12/11/2008,
day 13,"86,400.00","7,200.00",50.0000,8.33333%,0.41%,"6,308.57",,,,,,,,12/12/2008,
day 14,"93,600.00","7,200.00",50.0000,7.69231%,0.45%,"6,308.57",,,,,,,,12/13/2008,
day 15,"100,800.00","7,200.00",50.0000,7.14286%,0.48%,"6,308.57",,,,,,,,12/14/2008,
day 16,"108,000.00","7,200.00",50.0000,6.66667%,0.51%,"6,308.57",,,,,,,,12/15/2008,
day 17,"115,200.00","7,200.00",50.0000,6.25000%,0.55%,"6,308.57",,,,,,,,12/16/2008,
day 18,"122,400.00","7,200.00",50.0000,5.88235%,0.58%,"6,308.57",,,,,,,,12/17/2008,
day 19,"129,600.00","7,200.00",50.0000,5.55556%,0.62%,"6,308.57",,,,,,,,12/18/2008,
day 20,"136,800.00","7,200.00",50.0000,5.26316%,0.65%,"6,308.57",,,,,,,,12/19/2008,
day 21,"144,000.00","7,200.00",50.0000,5.00000%,0.69%,"6,308.57",,,,,,,,12/20/2008,
day 22,"151,200.00","7,200.00",50.0000,4.76190%,0.72%,"6,308.57",,,,,,,,12/21/2008,
day 23,"158,400.00","7,200.00",50.0000,4.54545%,0.75%,"6,308.57",,,,,,,,12/22/2008,
day 24,"165,600.00","7,200.00",50.0000,4.34783%,0.79%,"6,308.57",,,,,,,,12/23/2008,
day 25,"172,800.00","7,200.00",50.0000,4.16667%,0.82%,"6,308.57",,,,,,,,12/24/2008,
day 26,"180,000.00","7,200.00",50.0000,4.00000%,0.86%,"6,308.57",,,,,,,,12/25/2008,
day 27,"187,200.00","7,200.00",50.0000,3.84615%,0.89%,"6,308.57",,,,,,,,12/26/2008,
day 28,"194,400.00","7,200.00",50.0000,3.70370%,0.93%,"6,308.57",,,,,,,,12/27/2008,
day 29,"201,600.00","7,200.00",50.0000,3.57143%,0.96%,"6,308.57",,,,,,,,12/28/2008,
day 30,"208,800.00","7,200.00",50.0000,3.44828%,0.99%,"6,308.57",,,,,,,,12/29/2008,
day 31,"216,000.00","7,200.00",50.0000,3.33333%,1.03%,"6,308.57",,,,,,,,12/30/2008,
day 32,"223,200.00","7,200.00",50.0000,3.22581%,1.06%,"6,308.57",,,,,,,,12/31/2008,
day 33,"230,400.00","7,200.00",50.0000,3.12500%,1.10%,"6,308.57",,,,,,,,1/1/2009,
day 34,"237,600.00","7,200.00",50.0000,3.03030%,1.13%,"6,308.57",,,,,,,,1/2/2009,
day 35,"244,800.00","7,200.00",50.0000,2.94118%,1.17%,"6,308.57",,,,,,,,1/3/2009,
day 36,"252,000.00","7,200.00",50.0000,2.85714%,1.20%,"6,308.57",,,,,,,,1/4/2009,
day 37,"259,200.00","7,200.00",50.0000,2.77778%,1.23%,"6,308.57",,,,,,,,1/5/2009,
day 38,"266,400.00","7,200.00",50.0000,2.70270%,1.27%,"6,308.57",,,,,,,,1/6/2009,
day 39,"273,600.00","7,200.00",50.0000,2.63158%,1.30%,"6,308.57",,,,,,,,1/7/2009,
day 40,"280,800.00","7,200.00",50.0000,2.56410%,1.34%,"6,308.57",,,,,,,,1/8/2009,
day 41,"288,000.00","7,200.00",50.0000,2.50000%,1.37%,"6,308.57",,,,,,,,1/9/2009,
day 42,"295,200.00","7,200.00",50.0000,2.43902%,1.41%,"6,308.57",,,,,,,,1/10/2009,
day 43,"302,400.00","7,200.00",50.0000,2.38095%,1.44%,"6,308.57",,,,,,,,1/11/2009,
day 44,"309,600.00","7,200.00",50.0000,2.32558%,1.47%,"6,308.57",,,,,,,,1/12/2009,
day 45,"316,800.00","7,200.00",50.0000,2.27273%,1.51%,"6,308.57",,,,,,,,1/13/2009,
day 46,"324,000.00","7,200.00",50.0000,2.22222%,1.54%,"6,308.57",,,,,,,,1/14/2009,
day 47,"331,200.00","7,200.00",50.0000,2.17391%,1.58%,"6,308.57",,,,,,,,1/15/2009,
day 48,"338,400.00","7,200.00",50.0000,2.12766%,1.61%,"6,308.57",,,,,,,,1/16/2009,
day 49,"345,600.00","7,200.00",50.0000,2.08333%,1.65%,"6,308.57",,,,,,,,1/17/2009,
day 50,"352,800.00","7,200.00",50.0000,2.04082%,1.68%,"6,308.57",,,,,,,,1/18/2009,
day 51,"360,000.00","7,200.00",50.0000,2.00000%,1.71%,"6,308.57",,,,,,,,1/19/2009,
day 52,"367,200.00","7,200.00",50.0000,1.96078%,1.75%,"6,308.57",,,,,,,,1/20/2009,
day 53,"374,400.00","7,200.00",50.0000,1.92308%,1.78%,"6,308.57",,,,,,,,1/21/2009,
day 54,"381,600.00","7,200.00",50.0000,1.88679%,1.82%,"6,308.57",,,,,,,,1/22/2009,
day 55,"388,800.00","7,200.00",50.0000,1.85185%,1.85%,"6,308.57",,,,,,,,1/23/2009,
day 56,"396,000.00","7,200.00",50.0000,1.81818%,1.89%,"6,308.57",,,,,,,,1/24/2009,
day 57,"403,200.00","7,200.00",50.0000,1.78571%,1.92%,"6,308.57",,,,,,,,1/25/2009,
day 58,"410,400.00","7,200.00",50.0000,1.75439%,1.95%,"6,308.57",,,,,,,,1/26/2009,
day 59,"417,600.00","7,200.00",50.0000,1.72414%,1.99%,"6,308.57",,,,,,,,1/27/2009,
day 60,"424,800.00","7,200.00",50.0000,1.69492%,2.02%,"6,308.57",,,,,,,,1/28/2009,
day 61,"432,000.00","7,200.00",50.0000,1.66667%,2.06%,"6,308.57",,,,,,,,1/29/2009,
day 62,"439,200.00","7,200.00",50.0000,1.63934%,2.09%,"6,308.57",,,,,,,,1/30/2009,
day 63,"446,400.00","7,200.00",50.0000,1.61290%,2.13%,"6,308.57",,,,,,,,1/31/2009,
day 64,"453,600.00","7,200.00",50.0000,1.58730%,2.16%,"6,308.57",,,,,,,,2/1/2009,
day 65,"460,800.00","7,200.00",50.0000,1.56250%,2.19%,"6,308.57",,,,,,,,2/2/2009,
day 66,"468,000.00","7,200.00",50.0000,1.53846%,2.23%,"6,308.57",,,,,,,,2/3/2009,
day 67,"475,200.00","7,200.00",50.0000,1.51515%,2.26%,"6,308.57",,,,,,,,2/4/2009,
day 68,"482,400.00","7,200.00",50.0000,1.49254%,2.30%,"6,308.57",,,,,,,,2/5/2009,
day 69,"489,600.00","7,200.00",50.0000,1.47059%,2.33%,"6,308.57",,,,,,,,2/6/2009,
day 70,"496,800.00","7,200.00",50.0000,1.44928%,2.37%,"6,308.57",,,,,,,,2/7/2009,
day 71,"504,000.00","7,200.00",50.0000,1.42857%,2.40%,"6,308.57",,,,,,,,2/8/2009,
day 72,"511,200.00","7,200.00",50.0000,1.40845%,2.43%,"6,308.57",,,,,,,,2/9/2009,
day 73,"518,400.00","7,200.00",50.0000,1.38889%,2.47%,"6,308.57",,,,,,,,2/10/2009,
day 74,"525,600.00","7,200.00",50.0000,1.36986%,2.50%,"6,308.57",,,,,,,,2/11/2009,
day 75,"532,800.00","7,200.00",50.0000,1.35135%,2.54%,"6,308.57",,,,,,,,2/12/2009,
day 76,"540,000.00","7,200.00",50.0000,1.33333%,2.57%,"6,308.57",,,,,,,,2/13/2009,
day 77,"547,200.00","7,200.00",50.0000,1.31579%,2.61%,"6,308.57",,,,,,,,2/14/2009,
day 78,"554,400.00","7,200.00",50.0000,1.29870%,2.64%,"6,308.57",,,,,,,,2/15/2009,
day 79,"561,600.00","7,200.00",50.0000,1.28205%,2.67%,"6,308.57",,,,,,,,2/16/2009,
day 80,"568,800.00","7,200.00",50.0000,1.26582%,2.71%,"6,308.57",,,,,,,,2/17/2009,
day 81,"576,000.00","7,200.00",50.0000,1.25000%,2.74%,"6,308.57",,,,,,,,2/18/2009,
day 82,"583,200.00","7,200.00",50.0000,1.23457%,2.78%,"6,308.57",,,,,,,,2/19/2009,
day 83,"590,400.00","7,200.00",50.0000,1.21951%,2.81%,"6,308.57",,,,,,,,2/20/2009,
day 84,"597,600.00","7,200.00",50.0000,1.20482%,2.85%,"6,308.57",,,,,,,,2/21/2009,
day 85,"604,800.00","7,200.00",50.0000,1.19048%,2.88%,"6,308.57",,,,,,,,2/22/2009,
day 86,"612,000.00","7,200.00",50.0000,1.17647%,2.91%,"6,308.57",,,,,,,,2/23/2009,
day 87,"619,200.00","7,200.00",50.0000,1.16279%,2.95%,"6,308.57",,,,,,,,2/24/2009,
day 88,"626,400.00","7,200.00",50.0000,1.14943%,2.98%,"6,308.57",,,,,,,,2/25/2009,
day 89,"633,600.00","7,200.00",50.0000,1.13636%,3.02%,"6,308.57",,,,,,,,2/26/2009,
day 90,"640,800.00","7,200.00",50.0000,1.12360%,3.05%,"6,308.57",,,,,,,,2/27/2009,
day 91,"648,000.00","7,200.00",50.0000,1.11111%,3.09%,"6,308.57",,,,,,,,2/28/2009,
day 92,"655,200.00","7,200.00",50.0000,1.09890%,3.12%,"6,308.57",,,,,,,,3/1/2009,
day 93,"662,400.00","7,200.00",50.0000,1.08696%,3.15%,"6,308.57",,,,,,,,3/2/2009,
day 94,"669,600.00","7,200.00",50.0000,1.07527%,3.19%,"6,308.57",,,,,,,,3/3/2009,
day 95,"676,800.00","7,200.00",50.0000,1.06383%,3.22%,"6,308.57",,,,,,,,3/4/2009,
day 96,"684,000.00","7,200.00",50.0000,1.05263%,3.26%,"6,308.57",,,,,,,,3/5/2009,
day 97,"691,200.00","7,200.00",50.0000,1.04167%,3.29%,"6,308.57",,,,,,,,3/6/2009,
day 98,"698,400.00","7,200.00",50.0000,1.03093%,3.33%,"6,308.57",,,,,,,,3/7/2009,
day 99,"705,600.00","7,200.00",50.0000,1.02041%,3.36%,"6,308.57",,,,,,,,3/8/2009,
day 100,"712,800.00","7,200.00",50.0000,1.01010%,3.39%,"6,308.57",,,,,,,,3/9/2009,
day 101,"720,000.00","7,200.00",50.0000,1.00000%,3.43%,"6,308.57",,,,,,,,3/10/2009,
day 102,"727,200.00","7,200.00",50.0000,0.99010%,3.46%,"6,308.57",,,,,,,,3/11/2009,
day 103,"734,400.00","7,200.00",50.0000,0.98039%,3.50%,"6,308.57",,,,,,,,3/12/2009,
day 104,"741,600.00","7,200.00",50.0000,0.97087%,3.53%,"6,308.57",,,,,,,,3/13/2009,
day 105,"748,800.00","7,200.00",50.0000,0.96154%,3.57%,"6,308.57",,,,,,,,3/14/2009,
day 106,"756,000.00","7,200.00",50.0000,0.95238%,3.60%,"6,308.57",,,,,,,,3/15/2009,
day 107,"763,200.00","7,200.00",50.0000,0.94340%,3.63%,"6,308.57",,,,,,,,3/16/2009,
day 108,"770,400.00","7,200.00",50.0000,0.93458%,3.67%,"6,308.57",,,,,,,,3/17/2009,
day 109,"777,600.00","7,200.00",50.0000,0.92593%,3.70%,"6,308.57",,,,,,,,3/18/2009,
day 110,"784,800.00","7,200.00",50.0000,0.91743%,3.74%,"6,308.57",,,,,,,,3/19/2009,
day 111,"792,000.00","7,200.00",50.0000,0.90909%,3.77%,"6,308.57",,,,,,,,3/20/2009,
day 112,"799,200.00","7,200.00",50.0000,0.90090%,3.81%,"6,308.57",,,,,,,,3/21/2009,
day 113,"806,400.00","7,200.00",50.0000,0.89286%,3.84%,"6,308.57",,,,,,,,3/22/2009,
day 114,"813,600.00","7,200.00",50.0000,0.88496%,3.87%,"6,308.57",,,,,,,,3/23/2009,
day 115,"820,800.00","7,200.00",50.0000,0.87719%,3.91%,"6,308.57",,,,,,,,3/24/2009,
day 116,"828,000.00","7,200.00",50.0000,0.86957%,3.94%,"6,308.57",,,,,,,,3/25/2009,
day 117,"835,200.00","7,200.00",50.0000,0.86207%,3.98%,"6,308.57",,,,,,,,3/26/2009,
day 118,"842,400.00","7,200.00",50.0000,0.85470%,4.01%,"6,308.57",,,,,,,,3/27/2009,
day 119,"849,600.00","7,200.00",50.0000,0.84746%,4.05%,"6,308.57",,,,,,,,3/28/2009,
day 120,"856,800.00","7,200.00",50.0000,0.84034%,4.08%,"6,308.57",,,,,,,,3/29/2009,
day 121,"864,000.00","7,200.00",50.0000,0.83333%,4.11%,"6,308.57",,,,,,,,3/30/2009,
day 122,"871,200.00","7,200.00",50.0000,0.82645%,4.15%,"6,308.57",,,,,,,,3/31/2009,
day 123,"878,400.00","7,200.00",50.0000,0.81967%,4.18%,"6,308.57",,,,,,,,4/1/2009,
day 124,"885,600.00","7,200.00",50.0000,0.81301%,4.22%,"6,308.57",,,,,,,,4/2/2009,
day 125,"892,800.00","7,200.00",50.0000,0.80645%,4.25%,"6,308.57",,,,,,,,4/3/2009,
day 126,"900,000.00","7,200.00",50.0000,0.80000%,4.29%,"6,308.57",,,,,,,,4/4/2009,
day 127,"907,200.00","7,200.00",50.0000,0.79365%,4.32%,"6,308.57",,,,,,,,4/5/2009,
day 128,"914,400.00","7,200.00",50.0000,0.78740%,4.35%,"6,308.57",,,,,,,,4/6/2009,
day 129,"921,600.00","7,200.00",50.0000,0.78125%,4.39%,"6,308.57",,,,,,,,4/7/2009,
day 130,"928,800.00","7,200.00",50.0000,0.77519%,4.42%,"6,308.57",,,,,,,,4/8/2009,
day 131,"936,000.00","7,200.00",50.0000,0.76923%,4.46%,"6,308.57",,,,,,,,4/9/2009,
day 132,"943,200.00","7,200.00",50.0000,0.76336%,4.49%,"6,308.57",,,,,,,,4/10/2009,
day 133,"950,400.00","7,200.00",50.0000,0.75758%,4.53%,"6,308.57",,,,,,,,4/11/2009,
day 134,"957,600.00","7,200.00",50.0000,0.75188%,4.56%,"6,308.57",,,,,,,,4/12/2009,
day 135,"964,800.00","7,200.00",50.0000,0.74627%,4.59%,"6,308.57",,,,,,,,4/13/2009,
day 136,"972,000.00","7,200.00",50.0000,0.74074%,4.63%,"6,308.57",,,,,,,,4/14/2009,
day 137,"979,200.00","7,200.00",50.0000,0.73529%,4.66%,"6,308.57",,,,,,,,4/15/2009,
day 138,"986,400.00","7,200.00",50.0000,0.72993%,4.70%,"6,308.57",,,,,,,,4/16/2009,
day 139,"993,600.00","7,200.00",50.0000,0.72464%,4.73%,"6,308.57",,,,,,,,4/17/2009,
day 140,"1,000,800.00","7,200.00",50.0000,0.71942%,4.77%,"6,308.57",,,,,,,,4/18/2009,
day 141,"1,008,000.00","7,200.00",50.0000,0.71429%,4.80%,"6,308.57",,,,,,,,4/19/2009,
day 142,"1,015,200.00","7,200.00",50.0000,0.70922%,4.83%,"6,308.57",,,,,,,,4/20/2009,
day 143,"1,022,400.00","7,200.00",50.0000,0.70423%,4.87%,"6,308.57",,,,,,,,4/21/2009,
day 144,"1,029,600.00","7,200.00",50.0000,0.69930%,4.90%,"6,308.57",,,,,,,,4/22/2009,
day 145,"1,036,800.00","7,200.00",50.0000,0.69444%,4.94%,"6,308.57",,,,,,,,4/23/2009,
day 146,"1,044,000.00","7,200.00",50.0000,0.68966%,4.97%,"6,308.57",,,,,,,,4/24/2009,
day 147,"1,051,200.00","7,200.00",50.0000,0.68493%,5.01%,"6,308.57",,,,,,,,4/25/2009,
day 148,"1,058,400.00","7,200.00",50.0000,0.68027%,5.04%,"6,308.57",,,,,,,,4/26/2009,
day 149,"1,065,600.00","7,200.00",50.0000,0.67568%,5.07%,"6,308.57",,,,,,,,4/27/2009,
day 150,"1,072,800.00","7,200.00",50.0000,0.67114%,5.11%,"6,308.57",,,,,,,,4/28/2009,
day 151,"1,080,000.00","7,200.00",50.0000,0.66667%,5.14%,"6,308.57",,,,,,,,4/29/2009,
day 152,"1,087,200.00","7,200.00",50.0000,0.66225%,5.18%,"6,308.57",,,,,,,,4/30/2009,
day 153,"1,094,400.00","7,200.00",50.0000,0.65789%,5.21%,"6,308.57",,,,,,,,5/1/2009,
day 154,"1,101,600.00","7,200.00",50.0000,0.65359%,5.25%,"6,308.57",,,,,,,,5/2/2009,
day 155,"1,108,800.00","7,200.00",50.0000,0.64935%,5.28%,"6,308.57",,,,,,,,5/3/2009,
day 156,"1,116,000.00","7,200.00",50.0000,0.64516%,5.31%,"6,308.57",,,,,,,,5/4/2009,
day 157,"1,123,200.00","7,200.00",50.0000,0.64103%,5.35%,"6,308.57",,,,,,,,5/5/2009,
day 158,"1,130,400.00","7,200.00",50.0000,0.63694%,5.38%,"6,308.57",,,,,,,,5/6/2009,
day 159,"1,137,600.00","7,200.00",50.0000,0.63291%,5.42%,"6,308.57",,,,,,,,5/7/2009,
day 160,"1,144,800.00","7,200.00",50.0000,0.62893%,5.45%,"6,308.57",,,,,,,,5/8/2009,
day 161,"1,152,000.00","7,200.00",50.0000,0.62500%,5.49%,"6,308.57",,,,,,,,5/9/2009,
day 162,"1,159,200.00","7,200.00",50.0000,0.62112%,5.52%,"6,308.57",,,,,,,,5/10/2009,
day 163,"1,166,400.00","7,200.00",50.0000,0.61728%,5.55%,"6,308.57",,,,,,,,5/11/2009,
day 164,"1,173,600.00","7,200.00",50.0000,0.61350%,5.59%,"6,308.57",,,,,,,,5/12/2009,
day 165,"1,180,800.00","7,200.00",50.0000,0.60976%,5.62%,"6,308.57",,,,,,,,5/13/2009,
day 166,"1,188,000.00","7,200.00",50.0000,0.60606%,5.66%,"6,308.57",,,,,,,,5/14/2009,
day 167,"1,195,200.00","7,200.00",50.0000,0.60241%,5.69%,"6,308.57",,,,,,,,5/15/2009,
day 168,"1,202,400.00","7,200.00",50.0000,0.59880%,5.73%,"6,308.57",,,,,,,,5/16/2009,
day 169,"1,209,600.00","7,200.00",50.0000,0.59524%,5.76%,"6,308.57",,,,,,,,5/17/2009,
day 170,"1,216,800.00","7,200.00",50.0000,0.59172%,5.79%,"6,308.57",,,,,,,,5/18/2009,
day 171,"1,224,000.00","7,200.00",50.0000,0.58824%,5.83%,"6,308.57",,,,,,,,5/19/2009,
day 172,"1,231,200.00","7,200.00",50.0000,0.58480%,5.86%,"6,308.57",,,,,,,,5/20/2009,
day 173,"1,238,400.00","7,200.00",50.0000,0.58140%,5.90%,"6,308.57",,,,,,,,5/21/2009,
day 174,"1,245,600.00","7,200.00",50.0000,0.57803%,5.93%,"6,308.57",,,,,,,,5/22/2009,
day 175,"1,252,800.00","7,200.00",50.0000,0.57471%,5.97%,"6,308.57",,,,,,,,5/23/2009,
day 176,"1,260,000.00","7,200.00",50.0000,0.57143%,6.00%,"6,308.57",,,,,,,,5/24/2009,
day 177,"1,267,200.00","7,200.00",50.0000,0.56818%,6.03%,"6,308.57",,,,,,,,5/25/2009,
day 178,"1,274,400.00","7,200.00",50.0000,0.56497%,6.07%,"6,308.57",,,,,,,,5/26/2009,
day 179,"1,281,600.00","7,200.00",50.0000,0.56180%,6.10%,"6,308.57",,,,,,,,5/27/2009,
day 180,"1,288,800.00","7,200.00",50.0000,0.55866%,6.14%,"6,308.57",,,,,,,,5/28/2009,
day 181,"1,296,000.00","7,200.00",50.0000,0.55556%,6.17%,"6,308.57",,,,,,,,5/29/2009,
day 182,"1,303,200.00","7,200.00",50.0000,0.55249%,6.21%,"6,308.57",,,,,,,,5/30/2009,
day 183,"1,310,400.00","7,200.00",50.0000,0.54945%,6.24%,"6,308.57",,,,,,,,5/31/2009,
day 184,"1,317,600.00","7,200.00",50.0000,0.54645%,6.27%,"6,308.57",,,,,,,,6/1/2009,
day 185,"1,324,800.00","7,200.00",50.0000,0.54348%,6.31%,"6,308.57",,,,,,,,6/2/2009,
day 186,"1,332,000.00","7,200.00",50.0000,0.54054%,6.34%,"6,308.57",,,,,,,,6/3/2009,
day 187,"1,339,200.00","7,200.00",50.0000,0.53763%,6.38%,"6,308.57",,,,,,,,6/4/2009,
day 188,"1,346,400.00","7,200.00",50.0000,0.53476%,6.41%,"6,308.57",,,,,,,,6/5/2009,
day 189,"1,353,600.00","7,200.00",50.0000,0.53191%,6.45%,"6,308.57",,,,,,,,6/6/2009,
day 190,"1,360,800.00","7,200.00",50.0000,0.52910%,6.48%,"6,308.57",,,,,,,,6/7/2009,
day 191,"1,368,000.00","7,200.00",50.0000,0.52632%,6.51%,"6,308.57",,,,,,,,6/8/2009,
day 192,"1,375,200.00","7,200.00",50.0000,0.52356%,6.55%,"6,308.57",,,,,,,,6/9/2009,
day 193,"1,382,400.00","7,200.00",50.0000,0.52083%,6.58%,"6,308.57",,,,,,,,6/10/2009,
day 194,"1,389,600.00","7,200.00",50.0000,0.51813%,6.62%,"6,308.57",,,,,,,,6/11/2009,
day 195,"1,396,800.00","7,200.00",50.0000,0.51546%,6.65%,"6,308.57",,,,,,,,6/12/2009,
day 196,"1,404,000.00","7,200.00",50.0000,0.51282%,6.69%,"6,308.57",,,,,,,,6/13/2009,
day 197,"1,411,200.00","7,200.00",50.0000,0.51020%,6.72%,"6,308.57",,,,,,,,6/14/2009,
day 198,"1,418,400.00","7,200.00",50.0000,0.50761%,6.75%,"6,308.57",,,,,,,,6/15/2009,
day 199,"1,425,600.00","7,200.00",50.0000,0.50505%,6.79%,"6,308.57",,,,,,,,6/16/2009,
day 200,"1,432,800.00","7,200.00",50.0000,0.50251%,6.82%,"6,308.57",,,,,,,,6/17/2009,
day 201,"1,440,000.00","7,200.00",50.0000,0.50000%,6.86%,"6,308.57",,,,,,,,6/18/2009,
day 202,"1,447,200.00","7,200.00",50.0000,0.49751%,6.89%,"6,308.57",,,,,,,,6/19/2009,
day 203,"1,454,400.00","7,200.00",50.0000,0.49505%,6.93%,"6,308.57",,,,,,,,6/20/2009,
day 204,"1,461,600.00","7,200.00",50.0000,0.49261%,6.96%,"6,308.57",,,,,,,,6/21/2009,
day 205,"1,468,800.00","7,200.00",50.0000,0.49020%,6.99%,"6,308.57",,,,,,,,6/22/2009,
day 206,"1,476,000.00","7,200.00",50.0000,0.48780%,7.03%,"6,308.57",,,,,,,,6/23/2009,
day 207,"1,483,200.00","7,200.00",50.0000,0.48544%,7.06%,"6,308.57",,,,,,,,6/24/2009,
day 208,"1,490,400.00","7,200.00",50.0000,0.48309%,7.10%,"6,308.57",,,,,,,,6/25/2009,
day 209,"1,497,600.00","7,200.00",50.0000,0.48077%,7.13%,"6,308.57",,,,,,,,6/26/2009,
day 210,"1,504,800.00","7,200.00",50.0000,0.47847%,7.17%,"6,308.57",,,,,,,,6/27/2009,
day 211,"1,512,000.00","7,200.00",50.0000,0.47619%,7.20%,"6,308.57",,,,,,,,6/28/2009,
day 212,"1,519,200.00","7,200.00",50.0000,0.47393%,7.23%,"6,308.57",,,,,,,,6/29/2009,
day 213,"1,526,400.00","7,200.00",50.0000,0.47170%,7.27%,"6,308.57",,,,,,,,6/30/2009,
day 214,"1,533,600.00","7,200.00",50.0000,0.46948%,7.30%,"6,308.57",,,,,,,,7/1/2009,
day 215,"1,540,800.00","7,200.00",50.0000,0.46729%,7.34%,"6,308.57",,,,,,,,7/2/2009,
day 216,"1,548,000.00","7,200.00",50.0000,0.46512%,7.37%,"6,308.57",,,,,,,,7/3/2009,
day 217,"1,555,200.00","7,200.00",50.0000,0.46296%,7.41%,"6,308.57",,,,,,,,7/4/2009,
day 218,"1,562,400.00","7,200.00",50.0000,0.46083%,7.44%,"6,308.57",,,,,,,,7/5/2009,
day 219,"1,569,600.00","7,200.00",50.0000,0.45872%,7.47%,"6,308.57",,,,,,,,7/6/2009,
day 220,"1,576,800.00","7,200.00",50.0000,0.45662%,7.51%,"6,308.57",,,,,,,,7/7/2009,
day 221,"1,584,000.00","7,200.00",50.0000,0.45455%,7.54%,"6,308.57",,,,,,,,7/8/2009,
day 222,"1,591,200.00","7,200.00",50.0000,0.45249%,7.58%,"6,308.57",,,,,,,,7/9/2009,
day 223,"1,598,400.00","7,200.00",50.0000,0.45045%,7.61%,"6,308.57",,,,,,,,7/10/2009,
day 224,"1,605,600.00","7,200.00",50.0000,0.44843%,7.65%,"6,308.57",,,,,,,,7/11/2009,
day 225,"1,612,800.00","7,200.00",50.0000,0.44643%,7.68%,"6,308.57",,,,,,,,7/12/2009,
day 226,"1,620,000.00","7,200.00",50.0000,0.44444%,7.71%,"6,308.57",,,,,,,,7/13/2009,
day 227,"1,627,200.00","7,200.00",50.0000,0.44248%,7.75%,"6,308.57",,,,,,,,7/14/2009,
day 228,"1,634,400.00","7,200.00",50.0000,0.44053%,7.78%,"6,308.57",,,,,,,,7/15/2009,
day 229,"1,641,600.00","7,200.00",50.0000,0.43860%,7.82%,"6,308.57",,,,,,,,7/16/2009,
day 230,"1,648,800.00","7,200.00",50.0000,0.43668%,7.85%,"6,308.57",,,,,,,,7/17/2009,
day 231,"1,656,000.00","7,200.00",50.0000,0.43478%,7.89%,"6,308.57",,,,,,,,7/18/2009,
day 232,"1,663,200.00","7,200.00",50.0000,0.43290%,7.92%,"6,308.57",,,,,,,,7/19/2009,
day 233,"1,670,400.00","7,200.00",50.0000,0.43103%,7.95%,"6,308.57",,,,,,,,7/20/2009,
day 234,"1,677,600.00","7,200.00",50.0000,0.42918%,7.99%,"6,308.57",,,,,,,,7/21/2009,
day 235,"1,684,800.00","7,200.00",50.0000,0.42735%,8.02%,"6,308.57",,,,,,,,7/22/2009,
day 236,"1,692,000.00","7,200.00",50.0000,0.42553%,8.06%,"6,308.57",,,,,,,,7/23/2009,
day 237,"1,699,200.00","7,200.00",50.0000,0.42373%,8.09%,"6,308.57",,,,,,,,7/24/2009,
day 238,"1,706,400.00","7,200.00",50.0000,0.42194%,8.13%,"6,308.57",,,,,,,,7/25/2009,
day 239,"1,713,600.00","7,200.00",50.0000,0.42017%,8.16%,"6,308.57",,,,,,,,7/26/2009,
day 240,"1,720,800.00","7,200.00",50.0000,0.41841%,8.19%,"6,308.57",,,,,,,,7/27/2009,
day 241,"1,728,000.00","7,200.00",50.0000,0.41667%,8.23%,"6,308.57",,,,,,,,7/28/2009,
day 242,"1,735,200.00","7,200.00",50.0000,0.41494%,8.26%,"6,308.57",,,,,,,,7/29/2009,
day 243,"1,742,400.00","7,200.00",50.0000,0.41322%,8.30%,"6,308.57",,,,,,,,7/30/2009,
day 244,"1,749,600.00","7,200.00",50.0000,0.41152%,8.33%,"6,308.57",,,,,,,,7/31/2009,
day 245,"1,756,800.00","7,200.00",50.0000,0.40984%,8.37%,"6,308.57",,,,,,,,8/1/2009,
day 246,"1,764,000.00","7,200.00",50.0000,0.40816%,8.40%,"6,308.57",,,,,,,,8/2/2009,
day 247,"1,771,200.00","7,200.00",50.0000,0.40650%,8.43%,"6,308.57",,,,,,,,8/3/2009,
day 248,"1,778,400.00","7,200.00",50.0000,0.40486%,8.47%,"6,308.57",,,,,,,,8/4/2009,
